iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,4.024646,0.013460,299
2,3.529194,0.011803,299
3,2.272625,0.007601,299
4,4.275061,0.014298,299
5,3.263515,0.010915,299
6,2.760298,0.009232,299
7,2.527139,0.008452,299
8,3.776160,0.012629,299
9,3.017708,0.010093,299
10,2.776812,0.009287,299
11,2.759168,0.009228,299
12,4.033768,0.013491,299
13,2.271837,0.007598,299
14,2.763196,0.009241,299
15,2.271579,0.007597,299
16,2.506824,0.008384,299
17,2.508408,0.008389,299
18,2.017731,0.006748,299
19,2.526064,0.008448,299
20,3.521228,0.011777,299
21,2.522492,0.008436,299
22,2.013133,0.006733,299
23,3.515888,0.011759,299
24,3.273654,0.010949,299
25,5.032733,0.016832,299
26,3.277156,0.010960,299
27,3.019493,0.010099,299
28,2.759230,0.009228,299
29,1.256492,0.004202,299
30,1.257736,0.004206,299
31,2.514497,0.008410,299
32,1.765278,0.005904,299
33,1.768696,0.005915,299
34,3.020205,0.010101,299
35,3.278250,0.010964,299
36,1.507093,0.005040,299
37,3.020190,0.010101,299
38,2.008014,0.006716,299
39,3.524019,0.011786,299
40,3.267028,0.010927,299
41,2.263167,0.007569,299
42,3.515973,0.011759,299
43,2.008641,0.006718,299
44,3.774586,0.012624,299
45,3.262317,0.010911,299
46,2.765158,0.009248,299
47,3.015233,0.010084,299
48,2.268638,0.007587,299
49,2.767138,0.009255,299
50,3.271328,0.010941,299
51,2.766670,0.009253,299
52,2.257587,0.007550,299
53,1.757270,0.005877,299
54,3.769274,0.012606,299
55,2.519842,0.008428,299
56,1.253317,0.004192,299
57,1.007653,0.003370,299
58,2.259641,0.007557,299
59,3.021116,0.010104,299
60,2.272089,0.007599,299
61,2.520319,0.008429,299
62,2.511402,0.008399,299
63,3.275142,0.010954,299
64,2.764013,0.009244,299
65,4.778589,0.015982,299
66,2.769681,0.009263,299
67,3.022747,0.010110,299
68,2.768205,0.009258,299
69,2.759873,0.009230,299
70,2.014144,0.006736,299
71,2.775676,0.009283,299
72,3.769610,0.012607,299
73,3.013124,0.010077,299
74,3.516193,0.011760,299
75,4.272584,0.014290,299
76,2.268208,0.007586,299
77,2.262617,0.007567,299
78,2.762359,0.009239,299
79,2.265697,0.007578,299
