iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,3.283615,0.010982,299
2,2.520619,0.008430,299
3,2.016346,0.006744,299
4,3.528056,0.011800,299
5,3.011418,0.010072,299
6,2.009361,0.006720,299
7,1.255892,0.004200,299
8,1.509763,0.005049,299
9,3.260748,0.010906,299
10,2.761463,0.009236,299
11,1.501271,0.005021,299
12,2.515667,0.008414,299
13,2.512300,0.008402,299
14,3.014716,0.010083,299
15,2.756310,0.009218,299
16,2.015740,0.006742,299
17,2.261370,0.007563,299
18,2.514113,0.008408,299
19,2.763773,0.009243,299
20,3.017248,0.010091,299
21,2.007869,0.006715,299
22,1.756926,0.005876,299
23,3.015807,0.010086,299
24,3.020958,0.010104,299
25,1.758680,0.005882,299
26,2.266399,0.007580,299
27,2.767795,0.009257,299
28,1.505839,0.005036,299
29,3.267879,0.010929,299
30,2.763519,0.009243,299
31,3.527205,0.011797,299
32,4.281070,0.014318,299
33,1.509769,0.005049,299
34,4.031959,0.013485,299
35,1.501452,0.005022,299
36,2.261292,0.007563,299
37,1.751907,0.005859,299
38,1.508194,0.005044,299
39,3.014516,0.010082,299
