iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,0.000000,0.000000,299
2,0.000000,0.000000,299
3,0.000000,0.000000,299
4,0.000000,0.000000,299
5,0.250000,0.000836,299
6,0.250000,0.000836,299
7,0.250000,0.000836,299
8,0.000000,0.000000,299
9,0.000000,0.000000,299
10,0.000000,0.000000,299
11,0.000000,0.000000,299
12,0.000000,0.000000,299
13,0.000000,0.000000,299
14,0.000000,0.000000,299
15,0.000000,0.000000,299
16,0.000000,0.000000,299
17,0.000000,0.000000,299
18,0.500000,0.001672,299
19,0.000000,0.000000,299
20,0.250000,0.000836,299
21,0.250000,0.000836,299
22,0.000000,0.000000,299
23,0.000000,0.000000,299
24,0.250000,0.000836,299
25,0.000000,0.000000,299
26,0.000000,0.000000,299
27,0.000000,0.000000,299
28,0.000000,0.000000,299
29,0.000000,0.000000,299
30,0.000000,0.000000,299
31,0.000000,0.000000,299
32,0.000000,0.000000,299
33,0.250000,0.000836,299
34,0.000000,0.000000,299
35,0.000000,0.000000,299
36,0.000000,0.000000,299
37,0.000000,0.000000,299
38,0.000000,0.000000,299
39,0.250000,0.000836,299
40,0.000000,0.000000,299
41,0.000000,0.000000,299
42,0.000000,0.000000,299
43,0.000000,0.000000,299
44,0.000000,0.000000,299
45,0.250000,0.000836,299
46,0.000000,0.000000,299
47,0.000000,0.000000,299
48,0.000000,0.000000,299
49,0.000000,0.000000,299
50,0.000000,0.000000,299
51,0.000000,0.000000,299
52,0.000000,0.000000,299
53,0.000000,0.000000,299
