iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,4.776257,0.015974,299
2,5.278852,0.017655,299
3,4.266026,0.014268,299
4,2.514109,0.008408,299
5,5.539268,0.018526,299
6,4.296220,0.014369,299
7,4.269331,0.014279,299
8,3.272917,0.010946,299
9,2.015271,0.006740,299
10,5.787934,0.019358,299
11,3.517193,0.011763,299
12,4.306334,0.014402,299
13,3.273378,0.010948,299
14,4.516255,0.015105,299
15,5.532568,0.018504,299
16,5.546779,0.018551,299
17,4.024875,0.013461,299
18,3.779717,0.012641,299
19,2.762586,0.009239,299
20,3.787041,0.012666,299
21,5.032367,0.016831,299
22,5.538015,0.018522,299
23,2.518290,0.008422,299
24,5.567766,0.018621,299
25,3.777289,0.012633,299
26,4.272437,0.014289,299
27,3.528358,0.011801,299
28,4.039481,0.013510,299
29,3.782709,0.012651,299
30,3.276871,0.010959,299
31,4.526573,0.015139,299
32,3.272574,0.010945,299
33,4.015945,0.013431,299
34,6.046322,0.020222,299
35,3.520695,0.011775,299
36,4.034587,0.013494,299
37,3.779195,0.012639,299
38,3.793563,0.012688,299
39,4.282292,0.014322,299
40,3.052972,0.010211,299
41,4.526670,0.015139,299
42,3.540935,0.011843,299
43,4.027439,0.013470,299
44,5.043839,0.016869,299
45,5.543810,0.018541,299
46,4.040961,0.013515,299
47,4.549362,0.015215,299
48,3.526680,0.011795,299
49,4.535530,0.015169,299
50,4.777568,0.015978,299
51,3.279501,0.010968,299
52,4.028111,0.013472,299
53,5.559876,0.018595,299
54,5.549765,0.018561,299
55,4.773573,0.015965,299
56,3.023717,0.010113,299
57,3.527269,0.011797,299
58,3.521352,0.011777,299
59,3.522258,0.011780,299
60,4.036478,0.013500,299
61,6.033428,0.020179,299
62,4.033246,0.013489,299
63,4.779166,0.015984,299
64,4.292844,0.014357,299
65,4.537912,0.015177,299
66,5.026168,0.016810,299
67,3.530982,0.011809,299
68,2.517200,0.008419,299
69,6.294961,0.021053,299
70,3.292730,0.011012,299
71,2.527049,0.008452,299
72,3.792021,0.012682,299
73,4.534233,0.015165,299
74,5.041620,0.016862,299
75,4.292527,0.014356,299
76,2.769558,0.009263,299
77,6.043877,0.020214,299
78,5.798384,0.019393,299
79,4.771488,0.015958,299
80,4.032649,0.013487,299
81,5.036907,0.016846,299
82,2.756060,0.009218,299
83,6.299777,0.021069,299
84,3.539378,0.011837,299
85,4.039951,0.013512,299
86,3.273219,0.010947,299
87,2.765561,0.009249,299
88,4.287462,0.014339,299
89,3.275920,0.010956,299
90,4.774704,0.015969,299
91,4.515709,0.015103,299
92,4.281338,0.014319,299
93,3.781630,0.012648,299
