execucao,valor_objetivo,media_coeficientes,total_cruzamentos,iteracoes,rcl_tamanho_proporcional,tempo_execucao
1,0.0,0.0,299,87,0.84,191.61651921272278
2,0.0,0.0,299,98,0.77,303.77915501594543
3,0.0,0.0,299,69,0.77,222.71909880638123
4,2.5247795581817627,0.00844407878990556,299,83,0.94,308.0014445781708
5,0.0,0.0,299,46,0.77,134.71797823905945
