iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,2.515091,0.008412,299
2,3.014272,0.010081,299
3,2.010674,0.006725,299
4,2.257854,0.007551,299
5,3.514169,0.011753,299
6,2.017409,0.006747,299
7,1.762110,0.005893,299
8,3.521453,0.011777,299
9,3.515924,0.011759,299
10,3.773116,0.012619,299
11,2.017388,0.006747,299
12,2.260349,0.007560,299
13,4.529064,0.015147,299
14,4.022790,0.013454,299
15,3.266521,0.010925,299
16,1.757193,0.005877,299
17,3.017804,0.010093,299
18,3.514560,0.011754,299
19,4.035877,0.013498,299
20,4.518748,0.015113,299
21,1.253546,0.004192,299
22,2.255578,0.007544,299
23,2.766711,0.009253,299
24,1.507625,0.005042,299
25,3.014964,0.010083,299
26,3.273283,0.010947,299
27,3.263520,0.010915,299
28,1.514353,0.005065,299
29,1.000385,0.003346,299
30,3.755939,0.012562,299
31,3.007276,0.010058,299
32,2.258187,0.007552,299
33,3.015820,0.010086,299
34,2.515556,0.008413,299
35,1.757999,0.005880,299
36,4.275971,0.014301,299
37,1.006801,0.003367,299
38,1.758616,0.005882,299
39,3.017324,0.010091,299
40,1.751750,0.005859,299
41,1.760926,0.005889,299
42,2.268406,0.007587,299
43,3.020078,0.010101,299
44,1.260125,0.004214,299
45,4.527264,0.015141,299
46,2.772894,0.009274,299
47,3.023114,0.010111,299
48,2.515703,0.008414,299
49,4.521468,0.015122,299
50,2.767280,0.009255,299
51,2.768661,0.009260,299
52,2.511398,0.008399,299
53,4.014935,0.013428,299
54,1.263914,0.004227,299
55,3.017703,0.010093,299
56,4.023357,0.013456,299
57,2.513106,0.008405,299
58,2.525359,0.008446,299
59,2.765135,0.009248,299
60,2.759501,0.009229,299
61,2.008503,0.006717,299
62,4.024590,0.013460,299
63,2.761440,0.009236,299
64,3.014363,0.010081,299
65,1.260579,0.004216,299
66,3.767346,0.012600,299
67,3.762867,0.012585,299
68,1.758257,0.005880,299
69,1.758725,0.005882,299
70,3.010267,0.010068,299
71,2.523824,0.008441,299
72,3.015685,0.010086,299
73,3.262782,0.010912,299
74,2.006035,0.006709,299
75,2.766770,0.009253,299
76,3.790283,0.012677,299
