iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,2.510649,0.008397,299
2,1.757603,0.005878,299
3,0.754371,0.002523,299
4,0.504852,0.001688,299
5,1.004070,0.003358,299
6,1.763035,0.005896,299
7,3.773718,0.012621,299
8,2.768081,0.009258,299
9,1.503900,0.005030,299
10,2.502564,0.008370,299
11,1.507024,0.005040,299
12,1.752952,0.005863,299
13,2.505251,0.008379,299
14,1.510777,0.005053,299
15,1.509470,0.005048,299
16,3.021882,0.010107,299
17,2.008857,0.006719,299
18,1.756882,0.005876,299
19,1.755080,0.005870,299
20,0.757067,0.002532,299
21,3.012438,0.010075,299
22,1.008311,0.003372,299
23,2.009959,0.006722,299
24,2.506144,0.008382,299
25,1.502743,0.005026,299
26,2.768406,0.009259,299
27,1.760970,0.005890,299
28,1.754815,0.005869,299
29,2.513595,0.008407,299
30,1.003924,0.003358,299
31,2.259606,0.007557,299
32,0.755351,0.002526,299
33,1.759230,0.005884,299
34,1.501286,0.005021,299
35,2.008463,0.006717,299
36,2.263889,0.007572,299
37,1.510667,0.005052,299
38,1.760856,0.005889,299
39,1.001213,0.003349,299
40,1.253377,0.004192,299
41,2.007241,0.006713,299
42,3.017200,0.010091,299
43,1.507381,0.005041,299
44,2.010036,0.006723,299
45,3.017016,0.010090,299
46,0.756503,0.002530,299
47,3.279513,0.010968,299
48,2.262760,0.007568,299
49,0.753753,0.002521,299
50,1.006292,0.003366,299
51,2.258699,0.007554,299
52,1.509541,0.005049,299
53,0.757395,0.002533,299
54,2.765733,0.009250,299
55,1.509260,0.005048,299
56,2.256815,0.007548,299
57,2.262129,0.007566,299
58,1.005360,0.003362,299
59,1.507200,0.005041,299
60,1.002934,0.003354,299
61,3.265267,0.010921,299
62,1.251926,0.004187,299
63,2.263472,0.007570,299
64,1.256703,0.004203,299
65,2.258860,0.007555,299
66,1.006927,0.003368,299
67,1.260069,0.004214,299
68,0.250000,0.000836,299
69,1.760556,0.005888,299
70,1.511233,0.005054,299
71,2.017739,0.006748,299
72,1.263575,0.004226,299
73,2.015147,0.006740,299
74,3.007187,0.010057,299
75,1.757218,0.005877,299
76,1.513803,0.005063,299
77,1.255461,0.004199,299
78,1.253027,0.004191,299
79,1.760011,0.005886,299
80,2.765860,0.009250,299
81,1.762151,0.005893,299
82,1.259654,0.004213,299
83,1.762671,0.005895,299
84,0.753948,0.002522,299
85,1.762018,0.005893,299
86,2.008815,0.006718,299
87,1.510437,0.005052,299
88,1.505516,0.005035,299
