iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,0.503668,0.001685,299
2,1.757411,0.005878,299
3,0.750591,0.002510,299
4,1.006547,0.003366,299
5,0.500520,0.001674,299
6,0.250000,0.000836,299
7,0.250944,0.000839,299
8,0.750317,0.002509,299
9,0.750880,0.002511,299
10,1.253803,0.004193,299
11,1.503685,0.005029,299
12,0.250488,0.000838,299
13,0.502796,0.001682,299
14,0.504371,0.001687,299
15,1.757024,0.005876,299
16,0.250000,0.000836,299
17,0.500938,0.001675,299
18,2.011087,0.006726,299
19,0.756363,0.002530,299
20,1.505756,0.005036,299
21,2.508728,0.008390,299
22,1.510654,0.005052,299
23,1.505407,0.005035,299
24,1.252686,0.004190,299
25,2.013841,0.006735,299
26,0.250938,0.000839,299
27,0.755848,0.002528,299
28,1.002548,0.003353,299
29,0.756584,0.002530,299
30,0.000000,0.000000,299
31,0.754224,0.002522,299
32,1.254526,0.004196,299
33,0.000000,0.000000,299
34,0.753532,0.002520,299
35,1.255980,0.004201,299
36,1.260349,0.004215,299
37,1.004107,0.003358,299
38,0.752663,0.002517,299
39,1.254110,0.004194,299
40,1.000393,0.003346,299
41,1.765443,0.005904,299
42,1.003778,0.003357,299
43,0.500349,0.001673,299
44,0.000000,0.000000,299
45,0.753609,0.002520,299
46,1.002901,0.003354,299
47,0.751892,0.002515,299
48,1.003685,0.003357,299
49,0.501474,0.001677,299
50,0.753624,0.002520,299
51,1.006461,0.003366,299
52,1.002652,0.003353,299
53,1.501862,0.005023,299
54,0.752935,0.002518,299
55,1.000615,0.003347,299
56,0.755840,0.002528,299
57,0.500737,0.001675,299
58,1.257124,0.004204,299
59,1.256624,0.004203,299
60,1.004371,0.003359,299
61,0.500962,0.001675,299
62,1.252095,0.004188,299
63,2.509658,0.008394,299
64,2.258591,0.007554,299
65,1.006142,0.003365,299
66,1.003687,0.003357,299
67,0.000000,0.000000,299
68,0.755756,0.002528,299
69,1.254392,0.004195,299
70,1.505100,0.005034,299
71,0.753412,0.002520,299
72,1.253981,0.004194,299
73,1.003609,0.003357,299
74,1.007304,0.003369,299
75,0.500912,0.001675,299
76,0.756098,0.002529,299
77,1.001508,0.003350,299
78,0.752686,0.002517,299
79,1.504573,0.005032,299
80,0.750341,0.002510,299
81,1.252606,0.004189,299
82,1.757071,0.005876,299
83,1.759758,0.005885,299
84,1.763760,0.005899,299
85,0.503002,0.001682,299
86,2.507942,0.008388,299
87,1.003208,0.003355,299
88,0.250069,0.000836,299
89,0.500887,0.001675,299
90,0.751458,0.002513,299
91,1.000000,0.003344,299
92,1.506038,0.005037,299
93,1.506555,0.005039,299
94,1.002253,0.003352,299
95,1.254963,0.004197,299
96,0.506124,0.001693,299
97,1.006601,0.003367,299
98,1.757483,0.005878,299
99,2.011809,0.006728,299
100,1.250930,0.004184,299
101,0.253071,0.000846,299
102,1.004472,0.003359,299
103,0.252686,0.000845,299
104,0.250000,0.000836,299
105,0.752476,0.002517,299
106,1.003529,0.003356,299
107,0.753702,0.002521,299
108,0.503292,0.001683,299
109,0.750564,0.002510,299
110,1.753078,0.005863,299
111,1.253857,0.004194,299
112,0.505312,0.001690,299
113,1.750872,0.005856,299
114,0.752412,0.002516,299
115,0.751280,0.002513,299
116,0.250341,0.000837,299
117,0.752686,0.002517,299
118,1.007076,0.003368,299
119,1.000511,0.003346,299
120,0.250000,0.000836,299
121,1.508705,0.005046,299
122,1.255852,0.004200,299
123,0.750660,0.002511,299
124,0.752821,0.002518,299
125,0.504086,0.001686,299
126,1.251068,0.004184,299
127,0.752987,0.002518,299
128,1.006392,0.003366,299
129,0.250000,0.000836,299
130,1.757382,0.005878,299
131,0.751990,0.002515,299
132,0.000000,0.000000,299
133,0.755978,0.002528,299
134,1.753498,0.005865,299
135,0.753447,0.002520,299
136,0.252686,0.000845,299
137,0.250520,0.000838,299
138,1.255936,0.004200,299
139,1.257020,0.004204,299
140,1.256699,0.004203,299
141,0.500000,0.001672,299
142,1.505970,0.005037,299
143,1.506521,0.005039,299
144,1.757338,0.005877,299
145,1.510269,0.005051,299
146,0.751216,0.002512,299
147,1.001174,0.003348,299
148,1.504662,0.005032,299
149,0.252686,0.000845,299
150,0.755371,0.002526,299
151,1.251514,0.004186,299
152,0.757870,0.002535,299
153,0.503292,0.001683,299
154,2.253644,0.007537,299
155,0.754625,0.002524,299
156,0.753641,0.002521,299
157,0.753602,0.002520,299
158,0.500069,0.001672,299
159,1.254060,0.004194,299
160,1.003727,0.003357,299
161,1.253831,0.004193,299
162,0.752686,0.002517,299
163,0.750376,0.002510,299
164,1.251585,0.004186,299
165,1.007067,0.003368,299
166,1.001134,0.003348,299
167,0.754103,0.002522,299
168,1.507691,0.005042,299
169,0.755978,0.002528,299
170,0.000000,0.000000,299
171,0.252014,0.000843,299
172,0.751142,0.002512,299
173,0.503765,0.001685,299
174,1.758274,0.005881,299
175,2.261675,0.007564,299
176,1.257410,0.004205,299
177,0.750759,0.002511,299
178,0.503162,0.001683,299
179,0.757320,0.002533,299
180,0.751458,0.002513,299
181,0.503275,0.001683,299
182,1.505034,0.005034,299
183,1.004361,0.003359,299
184,0.751669,0.002514,299
185,0.500376,0.001673,299
186,0.000000,0.000000,299
187,1.007258,0.003369,299
188,0.500578,0.001674,299
189,0.752548,0.002517,299
190,0.502935,0.001682,299
191,2.015909,0.006742,299
192,1.756547,0.005875,299
193,0.750895,0.002511,299
194,1.001007,0.003348,299
195,1.509481,0.005048,299
196,0.751187,0.002512,299
197,1.003856,0.003357,299
198,0.250317,0.000837,299
199,1.250249,0.004181,299
200,1.003079,0.003355,299
201,1.255527,0.004199,299
202,0.500000,0.001672,299
203,0.755886,0.002528,299
204,0.751314,0.002513,299
205,1.503752,0.005029,299
206,0.753633,0.002521,299
207,0.501079,0.001676,299
208,0.500317,0.001673,299
209,0.250341,0.000837,299
210,0.000000,0.000000,299
211,0.753812,0.002521,299
212,1.002515,0.003353,299
213,2.009947,0.006722,299
214,0.753258,0.002519,299
215,1.251567,0.004186,299
216,1.000564,0.003346,299
217,0.753460,0.002520,299
218,1.257104,0.004204,299
219,0.250249,0.000837,299
220,1.261669,0.004220,299
221,2.514372,0.008409,299
222,2.006074,0.006709,299
223,1.507154,0.005041,299
224,1.002916,0.003354,299
225,1.752204,0.005860,299
226,1.253076,0.004191,299
227,1.756281,0.005874,299
228,1.001079,0.003348,299
229,0.500483,0.001674,299
230,0.500000,0.001672,299
231,1.507136,0.005041,299
232,1.253590,0.004193,299
233,1.003990,0.003358,299
234,1.002832,0.003354,299
235,1.761178,0.005890,299
236,2.007802,0.006715,299
237,1.250966,0.004184,299
238,1.006123,0.003365,299
239,1.001089,0.003348,299
240,0.501508,0.001677,299
241,1.001892,0.003351,299
242,1.006085,0.003365,299
