iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
227,0.755565,0.002527,299
228,0.500000,0.001672,299
229,0.500000,0.001672,299
230,1.003216,0.003355,299
231,0.502480,0.001681,299
232,1.505364,0.005035,299
233,0.502686,0.001681,299
234,0.502686,0.001681,299
235,1.006644,0.003367,299
236,0.250000,0.000836,299
237,0.250000,0.000836,299
238,0.250341,0.000837,299
239,0.250000,0.000836,299
240,0.253311,0.000847,299
241,0.250000,0.000836,299
242,0.750914,0.002511,299
243,0.250938,0.000839,299
244,1.001996,0.003351,299
245,1.006058,0.003365,299
246,0.754350,0.002523,299
247,0.758247,0.002536,299
248,0.756982,0.002532,299
249,0.501432,0.001677,299
250,1.253765,0.004193,299
251,0.500336,0.001673,299
252,1.505699,0.005036,299
253,0.502594,0.001681,299
254,0.251079,0.000840,299
255,1.003205,0.003355,299
256,0.500000,0.001672,299
257,0.750249,0.002509,299
258,0.252832,0.000846,299
259,0.000000,0.000000,299
260,1.003292,0.003355,299
261,0.500919,0.001675,299
262,1.001484,0.003349,299
263,0.751079,0.002512,299
264,1.000349,0.003346,299
265,1.006374,0.003366,299
266,0.502014,0.001679,299
267,0.752781,0.002518,299
268,0.500768,0.001675,299
269,0.500395,0.001674,299
270,1.260527,0.004216,299
271,1.003155,0.003355,299
272,1.250486,0.004182,299
273,0.752594,0.002517,299
274,1.003812,0.003357,299
275,1.251305,0.004185,299
276,0.504057,0.001686,299
277,0.250336,0.000837,299
278,0.000000,0.000000,299
279,0.000000,0.000000,299
280,1.250710,0.004183,299
281,0.500000,0.001672,299
282,0.252686,0.000845,299
283,1.505766,0.005036,299
284,0.754562,0.002524,299
285,0.752686,0.002517,299
286,1.002451,0.003353,299
287,0.751083,0.002512,299
288,1.005003,0.003361,299
289,1.755349,0.005871,299
290,0.503162,0.001683,299
291,0.252686,0.000845,299
292,0.751148,0.002512,299
293,0.250000,0.000836,299
294,1.258736,0.004210,299
295,0.250000,0.000836,299
296,0.750249,0.002509,299
297,0.250000,0.000836,299
298,0.250145,0.000837,299
299,0.500069,0.001672,299
