iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,1.005518,0.003363,299
2,0.750404,0.002510,299
3,0.500249,0.001673,299
4,0.251079,0.000840,299
5,0.500711,0.001675,299
6,0.500000,0.001672,299
7,0.500000,0.001672,299
8,1.000520,0.003346,299
9,0.502686,0.001681,299
10,0.250000,0.000836,299
11,0.000000,0.000000,299
12,1.001255,0.003349,299
13,0.250069,0.000836,299
14,0.753052,0.002519,299
15,0.000000,0.000000,299
16,0.750557,0.002510,299
17,0.250341,0.000837,299
18,0.500069,0.001672,299
19,1.003337,0.003356,299
20,0.253292,0.000847,299
21,0.500494,0.001674,299
22,0.250000,0.000836,299
23,1.001599,0.003350,299
24,0.250000,0.000836,299
25,1.005848,0.003364,299
26,0.751415,0.002513,299
27,0.501472,0.001677,299
28,0.250000,0.000836,299
29,1.003803,0.003357,299
30,0.753315,0.002519,299
31,0.500095,0.001673,299
32,1.252549,0.004189,299
33,0.500520,0.001674,299
34,0.250336,0.000837,299
35,0.000000,0.000000,299
36,0.500000,0.001672,299
37,0.500000,0.001672,299
38,0.500000,0.001672,299
39,0.250317,0.000837,299
40,0.750240,0.002509,299
41,1.001008,0.003348,299
42,0.500938,0.001675,299
43,0.000000,0.000000,299
44,0.250000,0.000836,299
45,1.000214,0.003345,299
46,0.253292,0.000847,299
47,0.500000,0.001672,299
48,0.752083,0.002515,299
49,0.752754,0.002518,299
50,1.003845,0.003357,299
51,0.750520,0.002510,299
52,0.504486,0.001687,299
53,0.503765,0.001685,299
54,1.258971,0.004211,299
55,0.500000,0.001672,299
56,0.250000,0.000836,299
57,1.253480,0.004192,299
58,0.000000,0.000000,299
59,0.501599,0.001678,299
60,0.500395,0.001674,299
61,1.500937,0.005020,299
62,0.502754,0.001681,299
63,1.000855,0.003347,299
64,0.752832,0.002518,299
65,0.253071,0.000846,299
66,1.255435,0.004199,299
67,0.500000,0.001672,299
68,0.500069,0.001672,299
69,0.252014,0.000843,299
70,0.000000,0.000000,299
71,0.250000,0.000836,299
72,0.250000,0.000836,299
73,0.500552,0.001674,299
74,1.001079,0.003348,299
75,0.500069,0.001672,299
76,1.250938,0.004184,299
77,0.000000,0.000000,299
78,0.251079,0.000840,299
79,0.750317,0.002509,299
80,0.500000,0.001672,299
81,0.755036,0.002525,299
82,0.251079,0.000840,299
83,0.000000,0.000000,299
84,0.250249,0.000837,299
85,0.000000,0.000000,299
86,0.250000,0.000836,299
87,0.751522,0.002513,299
88,0.500000,0.001672,299
89,0.000000,0.000000,299
90,1.251396,0.004185,299
91,0.752831,0.002518,299
92,0.501079,0.001676,299
93,0.500341,0.001673,299
94,0.503765,0.001685,299
95,0.500336,0.001673,299
96,0.000000,0.000000,299
97,0.252832,0.000846,299
98,0.505371,0.001690,299
99,1.001516,0.003350,299
100,0.502014,0.001679,299
101,0.500488,0.001674,299
102,0.500000,0.001672,299
103,0.000000,0.000000,299
104,0.250000,0.000836,299
105,0.502686,0.001681,299
106,0.750410,0.002510,299
107,0.250000,0.000836,299
108,0.250000,0.000836,299
109,0.250000,0.000836,299
110,0.751148,0.002512,299
111,0.000000,0.000000,299
112,1.251509,0.004186,299
113,0.500069,0.001672,299
114,0.250000,0.000836,299
115,0.250249,0.000837,299
116,0.000000,0.000000,299
117,0.754847,0.002525,299
118,0.751079,0.002512,299
119,0.501007,0.001676,299
120,0.000000,0.000000,299
121,0.753002,0.002518,299
122,0.000000,0.000000,299
123,0.000000,0.000000,299
124,0.250488,0.000838,299
125,1.753649,0.005865,299
126,0.501079,0.001676,299
127,0.750000,0.002508,299
128,0.752754,0.002518,299
129,1.251014,0.004184,299
130,0.502014,0.001679,299
131,0.250249,0.000837,299
132,0.000000,0.000000,299
133,0.753205,0.002519,299
134,0.500462,0.001674,299
135,0.000000,0.000000,299
136,0.250000,0.000836,299
137,1.000768,0.003347,299
138,0.756310,0.002529,299
139,0.500000,0.001672,299
140,0.750145,0.002509,299
141,0.250000,0.000836,299
142,1.003183,0.003355,299
143,0.500000,0.001672,299
144,0.503205,0.001683,299
145,1.005234,0.003362,299
146,0.251892,0.000842,299
147,0.750069,0.002509,299
148,0.752566,0.002517,299
149,0.250000,0.000836,299
150,0.753003,0.002518,299
151,1.255389,0.004199,299
152,0.000000,0.000000,299
153,0.000000,0.000000,299
154,0.250000,0.000836,299
155,0.000000,0.000000,299
156,0.250000,0.000836,299
157,0.751079,0.002512,299
158,0.752686,0.002517,299
159,0.500000,0.001672,299
160,0.000000,0.000000,299
161,0.000000,0.000000,299
162,0.500349,0.001673,299
163,0.000000,0.000000,299
164,0.503361,0.001683,299
165,0.500095,0.001673,299
166,0.752697,0.002517,299
167,1.000000,0.003344,299
168,1.003352,0.003356,299
169,0.756239,0.002529,299
170,1.250249,0.004181,299
171,0.250000,0.000836,299
172,0.000000,0.000000,299
173,1.251079,0.004184,299
174,0.000000,0.000000,299
175,0.000000,0.000000,299
176,0.250520,0.000838,299
177,0.250000,0.000836,299
178,0.250317,0.000837,299
179,0.250000,0.000836,299
180,0.000000,0.000000,299
181,0.500000,0.001672,299
182,0.750000,0.002508,299
183,1.252129,0.004188,299
184,0.250000,0.000836,299
185,0.250000,0.000836,299
186,0.751458,0.002513,299
187,0.502686,0.001681,299
188,0.752686,0.002517,299
189,0.250561,0.000838,299
190,0.500000,0.001672,299
191,0.250341,0.000837,299
192,1.503170,0.005027,299
193,0.750341,0.002510,299
194,0.502014,0.001679,299
195,0.500615,0.001674,299
196,0.250317,0.000837,299
197,0.752686,0.002517,299
198,0.251055,0.000840,299
199,0.500395,0.001674,299
200,0.500938,0.001675,299
201,0.250000,0.000836,299
202,0.502480,0.001681,299
203,0.501079,0.001676,299
204,0.250000,0.000836,299
205,0.000000,0.000000,299
206,0.501892,0.001679,299
207,0.251079,0.000840,299
208,1.006165,0.003365,299
209,0.250000,0.000836,299
210,0.000000,0.000000,299
211,0.250336,0.000837,299
212,1.253906,0.004194,299
213,0.755743,0.002528,299
214,0.500145,0.001673,299
215,0.250000,0.000836,299
216,1.256313,0.004202,299
217,0.250317,0.000837,299
218,0.753027,0.002518,299
219,0.500000,0.001672,299
220,0.000000,0.000000,299
221,0.751148,0.002512,299
222,0.250000,0.000836,299
