iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,3.509520,0.011738,299
2,4.771327,0.015958,299
3,4.779101,0.015984,299
4,3.269214,0.010934,299
5,5.031893,0.016829,299
6,4.272489,0.014289,299
7,3.272550,0.010945,299
8,3.282832,0.010979,299
9,5.552429,0.018570,299
10,4.534554,0.015166,299
11,2.023363,0.006767,299
12,3.779340,0.012640,299
13,4.025174,0.013462,299
14,4.529382,0.015148,299
15,4.786476,0.016008,299
16,5.562107,0.018602,299
17,5.798015,0.019391,299
18,5.533947,0.018508,299
19,4.294141,0.014362,299
20,3.532351,0.011814,299
21,3.782684,0.012651,299
22,4.280642,0.014317,299
23,3.794004,0.012689,299
24,4.040629,0.013514,299
25,5.780164,0.019332,299
26,5.042625,0.016865,299
27,5.034918,0.016839,299
28,4.542393,0.015192,299
29,3.282967,0.010980,299
30,2.764437,0.009246,299
31,4.027864,0.013471,299
32,5.800604,0.019400,299
33,3.015551,0.010085,299
34,2.780112,0.009298,299
35,4.028818,0.013474,299
36,4.814966,0.016104,299
37,4.275185,0.014298,299
38,4.024812,0.013461,299
39,4.024065,0.013458,299
40,4.037196,0.013502,299
41,3.518885,0.011769,299
42,4.550085,0.015218,299
43,5.785700,0.019350,299
44,4.035989,0.013498,299
45,5.040382,0.016857,299
46,4.043285,0.013523,299
47,4.037474,0.013503,299
48,4.028255,0.013472,299
49,6.037113,0.020191,299
50,5.028914,0.016819,299
51,3.522459,0.011781,299
52,5.787018,0.019355,299
53,6.541613,0.021878,299
54,5.051511,0.016895,299
55,2.772197,0.009272,299
56,3.027956,0.010127,299
57,4.042027,0.013518,299
58,4.780504,0.015988,299
59,4.023458,0.013456,299
60,3.270235,0.010937,299
61,6.049019,0.020231,299
62,3.776437,0.012630,299
63,3.775826,0.012628,299
64,6.308690,0.021099,299
65,4.271749,0.014287,299
66,6.040849,0.020204,299
67,3.772355,0.012617,299
68,3.536321,0.011827,299
69,4.787965,0.016013,299
70,4.036484,0.013500,299
71,4.284541,0.014330,299
72,3.522682,0.011782,299
73,4.039069,0.013509,299
74,5.537347,0.018520,299
75,4.783087,0.015997,299
76,5.552323,0.018570,299
77,1.768140,0.005914,299
78,3.531787,0.011812,299
79,4.032887,0.013488,299
80,5.026539,0.016811,299
81,5.039495,0.016854,299
82,4.291270,0.014352,299
83,3.020781,0.010103,299
84,3.765103,0.012592,299
85,4.773493,0.015965,299
86,2.770122,0.009265,299
87,4.549676,0.015216,299
88,5.545673,0.018547,299
89,5.542033,0.018535,299
90,5.031968,0.016829,299
91,4.278515,0.014309,299
92,4.274137,0.014295,299
93,3.027218,0.010124,299
94,4.535235,0.015168,299
95,5.298069,0.017719,299
96,3.268817,0.010932,299
97,4.278648,0.014310,299
98,3.287238,0.010994,299
99,3.017454,0.010092,299
100,4.527751,0.015143,299
101,4.032439,0.013486,299
102,5.038949,0.016853,299
103,2.775721,0.009283,299
104,5.298187,0.017720,299
105,3.512034,0.011746,299
106,2.767708,0.009257,299
107,5.289429,0.017690,299
108,4.780912,0.015990,299
109,3.010175,0.010067,299
110,3.525473,0.011791,299
111,5.305781,0.017745,299
112,4.278639,0.014310,299
113,5.037236,0.016847,299
114,5.033995,0.016836,299
115,4.276600,0.014303,299
116,4.037245,0.013502,299
117,3.528986,0.011803,299
118,5.798314,0.019392,299
119,3.780488,0.012644,299
120,3.020941,0.010103,299
121,2.269217,0.007589,299
122,4.034399,0.013493,299
123,5.037550,0.016848,299
124,6.054579,0.020249,299
125,4.288427,0.014343,299
126,4.528176,0.015144,299
127,5.306884,0.017749,299
128,3.778018,0.012636,299
129,4.289545,0.014346,299
130,4.550967,0.015221,299
131,3.034935,0.010150,299
132,5.532474,0.018503,299
133,5.783918,0.019344,299
134,5.301191,0.017730,299
135,3.520741,0.011775,299
136,3.537344,0.011831,299
137,4.265797,0.014267,299
138,3.271890,0.010943,299
139,2.523200,0.008439,299
140,4.534896,0.015167,299
141,3.522642,0.011781,299
142,6.050012,0.020234,299
143,4.770495,0.015955,299
144,3.022795,0.010110,299
145,2.771339,0.009269,299
146,5.031383,0.016827,299
147,6.054431,0.020249,299
148,4.281156,0.014318,299
149,3.284185,0.010984,299
150,4.793200,0.016031,299
151,5.557597,0.018587,299
152,5.041612,0.016862,299
153,3.770835,0.012611,299
154,3.540751,0.011842,299
155,4.540328,0.015185,299
156,4.789339,0.016018,299
157,3.273821,0.010949,299
158,3.514420,0.011754,299
159,3.520837,0.011775,299
160,3.511360,0.011744,299
161,2.765998,0.009251,299
162,3.276835,0.010959,299
163,4.539029,0.015181,299
164,2.517471,0.008420,299
165,4.037253,0.013503,299
166,3.033678,0.010146,299
167,3.524044,0.011786,299
168,2.774128,0.009278,299
169,2.274081,0.007606,299
170,3.523008,0.011783,299
171,4.019834,0.013444,299
