iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,4.297193,0.014372,299
2,7.044494,0.023560,299
3,4.785341,0.016004,299
4,3.523553,0.011784,299
5,5.026780,0.016812,299
6,4.037882,0.013505,299
7,5.021536,0.016794,299
8,4.790998,0.016023,299
9,5.536505,0.018517,299
10,5.787816,0.019357,299
11,4.290086,0.014348,299
12,5.302089,0.017733,299
13,4.524280,0.015131,299
14,4.275066,0.014298,299
15,5.287626,0.017684,299
16,4.279577,0.014313,299
17,4.798951,0.016050,299
18,4.025649,0.013464,299
19,4.026470,0.013466,299
20,4.271830,0.014287,299
21,3.769847,0.012608,299
22,5.035974,0.016843,299
23,4.034460,0.013493,299
24,5.530103,0.018495,299
25,5.022639,0.016798,299
26,6.040723,0.020203,299
27,4.787978,0.016013,299
28,5.794380,0.019379,299
29,5.816007,0.019452,299
30,3.523029,0.011783,299
31,5.026688,0.016812,299
32,5.037622,0.016848,299
33,6.053243,0.020245,299
34,4.294300,0.014362,299
35,4.277651,0.014307,299
36,3.518527,0.011768,299
37,6.041240,0.020205,299
38,5.288369,0.017687,299
39,5.822081,0.019472,299
40,5.543389,0.018540,299
41,3.023190,0.010111,299
42,4.785339,0.016004,299
43,4.777879,0.015980,299
44,6.538931,0.021869,299
45,3.539495,0.011838,299
46,5.539818,0.018528,299
47,3.789501,0.012674,299
48,4.297169,0.014372,299
49,2.762974,0.009241,299
50,4.029868,0.013478,299
51,4.038849,0.013508,299
52,3.517559,0.011764,299
53,3.797170,0.012700,299
54,4.020120,0.013445,299
55,4.022354,0.013453,299
56,2.775958,0.009284,299
57,3.543307,0.011851,299
58,4.786202,0.016007,299
59,6.801035,0.022746,299
60,4.028516,0.013473,299
61,4.532947,0.015160,299
62,7.573724,0.025330,299
63,3.539361,0.011837,299
64,4.037576,0.013504,299
65,4.537923,0.015177,299
66,5.037309,0.016847,299
67,5.291605,0.017698,299
68,5.549735,0.018561,299
69,6.045643,0.020220,299
70,4.791662,0.016026,299
71,5.799814,0.019397,299
72,4.277442,0.014306,299
73,3.283655,0.010982,299
74,4.037318,0.013503,299
75,5.554501,0.018577,299
76,6.807158,0.022766,299
77,5.044302,0.016871,299
78,5.303121,0.017736,299
79,5.044251,0.016870,299
80,5.046336,0.016877,299
81,4.552487,0.015226,299
82,3.532072,0.011813,299
83,3.524877,0.011789,299
84,3.274600,0.010952,299
85,4.782429,0.015995,299
86,5.050265,0.016891,299
87,3.543574,0.011851,299
88,4.795366,0.016038,299
89,4.534856,0.015167,299
90,4.534481,0.015165,299
91,5.285402,0.017677,299
92,5.045869,0.016876,299
93,3.785326,0.012660,299
94,4.783975,0.016000,299
95,5.038540,0.016851,299
96,4.021459,0.013450,299
97,3.792545,0.012684,299
98,4.782159,0.015994,299
99,4.281980,0.014321,299
100,4.267697,0.014273,299
101,5.043474,0.016868,299
102,4.285046,0.014331,299
103,5.800223,0.019399,299
104,4.784453,0.016002,299
105,5.289371,0.017690,299
106,3.295966,0.011023,299
107,4.018929,0.013441,299
108,5.541548,0.018534,299
109,5.054513,0.016905,299
110,3.781007,0.012646,299
111,4.788726,0.016016,299
112,3.269444,0.010935,299
113,3.773051,0.012619,299
114,7.300115,0.024415,299
115,4.781708,0.015992,299
116,6.561696,0.021945,299
117,5.557585,0.018587,299
118,4.792085,0.016027,299
119,6.038010,0.020194,299
120,3.774819,0.012625,299
121,4.514412,0.015098,299
122,4.283630,0.014327,299
123,4.280493,0.014316,299
124,3.273517,0.010948,299
125,3.534040,0.011820,299
126,3.784352,0.012657,299
127,6.295202,0.021054,299
128,3.794592,0.012691,299
129,6.285133,0.021021,299
130,4.790759,0.016023,299
131,4.275782,0.014300,299
132,5.284749,0.017675,299
133,5.042783,0.016865,299
134,4.522226,0.015125,299
135,6.553548,0.021918,299
136,3.785127,0.012659,299
137,7.031558,0.023517,299
138,3.531404,0.011811,299
139,3.774757,0.012625,299
140,4.792584,0.016029,299
141,5.297604,0.017718,299
142,4.785561,0.016005,299
143,3.776527,0.012631,299
144,5.804165,0.019412,299
145,4.536392,0.015172,299
146,4.286424,0.014336,299
147,6.288705,0.021032,299
148,2.523877,0.008441,299
149,4.533066,0.015161,299
150,5.037856,0.016849,299
151,3.801047,0.012713,299
152,4.796063,0.016040,299
153,4.030081,0.013479,299
154,5.028036,0.016816,299
155,5.045451,0.016874,299
156,5.038287,0.016850,299
157,6.048945,0.020231,299
158,5.533882,0.018508,299
159,5.295997,0.017712,299
160,3.771438,0.012614,299
161,4.035123,0.013495,299
162,5.538673,0.018524,299
163,5.033880,0.016836,299
164,4.283541,0.014326,299
165,5.535970,0.018515,299
166,5.544712,0.018544,299
167,6.303840,0.021083,299
168,4.046198,0.013532,299
169,4.778639,0.015982,299
170,4.030741,0.013481,299
171,3.531949,0.011813,299
172,3.007265,0.010058,299
173,7.807842,0.026113,299
174,5.287916,0.017685,299
175,7.311177,0.024452,299
176,5.803936,0.019411,299
177,3.538358,0.011834,299
178,5.308726,0.017755,299
179,7.332826,0.024525,299
180,5.795015,0.019381,299
181,4.271951,0.014287,299
182,4.788804,0.016016,299
183,5.037485,0.016848,299
184,5.821968,0.019471,299
185,4.022719,0.013454,299
186,4.538472,0.015179,299
187,4.051072,0.013549,299
188,5.033028,0.016833,299
189,4.288358,0.014342,299
190,6.801552,0.022748,299
191,4.289907,0.014348,299
192,6.298114,0.021064,299
193,3.019444,0.010098,299
194,3.533251,0.011817,299
195,7.049315,0.023576,299
196,5.044526,0.016871,299
197,6.286732,0.021026,299
198,5.280272,0.017660,299
199,5.808949,0.019428,299
200,4.787715,0.016012,299
201,6.794957,0.022726,299
202,5.803238,0.019409,299
203,4.047377,0.013536,299
204,5.554470,0.018577,299
205,6.290187,0.021037,299
206,5.307270,0.017750,299
207,4.786217,0.016007,299
208,4.038133,0.013505,299
209,4.290895,0.014351,299
210,4.790263,0.016021,299
211,6.286586,0.021025,299
212,4.041733,0.013518,299
213,2.781322,0.009302,299
214,4.792118,0.016027,299
215,4.036123,0.013499,299
216,6.544636,0.021888,299
217,5.306538,0.017748,299
218,6.042311,0.020208,299
219,3.787013,0.012666,299
220,5.295027,0.017709,299
221,6.795526,0.022728,299
222,4.034173,0.013492,299
223,6.306418,0.021092,299
224,6.312293,0.021111,299
225,3.777244,0.012633,299
226,4.783232,0.015997,299
227,5.038730,0.016852,299
228,3.516407,0.011761,299
229,5.790018,0.019365,299
230,3.265346,0.010921,299
231,2.504064,0.008375,299
232,4.032742,0.013487,299
233,4.520900,0.015120,299
234,3.787915,0.012669,299
235,5.792976,0.019375,299
236,4.037721,0.013504,299
237,6.280393,0.021005,299
238,4.292939,0.014358,299
239,3.018759,0.010096,299
240,3.787378,0.012667,299
241,4.549688,0.015216,299
242,4.786483,0.016008,299
243,5.546059,0.018549,299
244,3.273793,0.010949,299
