iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,0.750520,0.002510,299
2,0.750938,0.002511,299
3,0.250393,0.000837,299
4,0.752901,0.002518,299
5,0.752686,0.002517,299
6,1.505669,0.005036,299
7,0.751625,0.002514,299
8,1.250832,0.004183,299
9,0.250000,0.000836,299
10,0.250366,0.000837,299
11,0.501314,0.001677,299
12,1.000366,0.003346,299
13,0.250000,0.000836,299
14,1.256695,0.004203,299
15,1.002953,0.003354,299
16,1.256127,0.004201,299
17,0.502686,0.001681,299
18,0.250000,0.000836,299
19,0.253292,0.000847,299
20,0.750913,0.002511,299
21,0.505550,0.001691,299
22,1.500490,0.005018,299
23,0.750938,0.002511,299
24,1.009922,0.003378,299
25,0.500341,0.001673,299
26,0.503292,0.001683,299
27,0.500483,0.001674,299
28,0.755854,0.002528,299
29,0.500000,0.001672,299
30,1.004891,0.003361,299
31,0.755978,0.002528,299
32,0.503227,0.001683,299
33,1.003609,0.003357,299
34,0.751079,0.002512,299
35,2.003330,0.006700,299
36,1.251172,0.004185,299
37,1.510656,0.005052,299
38,0.753071,0.002519,299
39,0.752934,0.002518,299
40,0.753307,0.002519,299
41,0.751079,0.002512,299
42,0.751483,0.002513,299
43,0.753911,0.002521,299
44,0.500000,0.001672,299
45,0.252686,0.000845,299
46,0.250000,0.000836,299
47,0.750349,0.002510,299
48,0.750341,0.002510,299
49,0.750881,0.002511,299
50,1.005577,0.003363,299
51,0.500869,0.001675,299
52,0.751331,0.002513,299
53,1.001474,0.003349,299
54,0.752815,0.002518,299
55,0.750145,0.002509,299
56,1.000947,0.003348,299
57,0.750069,0.002509,299
58,0.752458,0.002517,299
59,0.750588,0.002510,299
60,0.752363,0.002516,299
61,0.252686,0.000845,299
62,0.504371,0.001687,299
63,0.751892,0.002515,299
64,0.502686,0.001681,299
65,1.500930,0.005020,299
66,1.003197,0.003355,299
67,0.751892,0.002515,299
68,1.001079,0.003348,299
69,0.250349,0.000837,299
70,0.502781,0.001682,299
71,1.252187,0.004188,299
72,0.753765,0.002521,299
73,1.506604,0.005039,299
74,0.753166,0.002519,299
75,1.006386,0.003366,299
76,0.500376,0.001673,299
77,1.508969,0.005047,299
78,1.253910,0.004194,299
79,0.752594,0.002517,299
80,0.750341,0.002510,299
81,0.753529,0.002520,299
82,0.750366,0.002510,299
83,0.252686,0.000845,299
84,1.005802,0.003364,299
85,0.500000,0.001672,299
86,0.000000,0.000000,299
